postalCode,Longitude,Latitude,burrito,taco,Ratio of Burritos/Taco
80302,-105.306748,40.035467,,8.0,
80504,-104.966226,40.160065,25.0,,
80524,-105.04983899999999,40.63551,11.0,,
80530,-104.935223,40.101205,4.0,,
81003,-104.625815,38.282078000000006,49.0,,
81050,-103.77405,37.818220000000004,20.0,,
82601,-106.32161,42.840004,,53.0,
83402,-112.11328799999998,43.496857,5.0,,
83501,-116.98639299999999,46.388958,16.0,,
83642,-116.39811399999999,43.609109000000004,,17.0,
83706,-116.189842,43.590476,,19.0,
84015,-112.02864699999999,41.119274,14.0,,
84041,-112.00808500000001,41.059983,105.0,27.0,3.888888888888889
84107,-111.881914,40.65846,14.0,,
84119,-111.947832,40.692079,,9.0,
84770,-113.58556899999999,37.084694,12.0,,
84780,-113.50968200000001,37.134586999999996,23.0,,
85023,-112.11175800000001,33.632395,,30.0,
85215,-111.706926,33.468094,,2.0,
85224,-111.877926,33.321325,14.0,,
85251,-111.922875,33.493889,34.0,,
85283,-111.928523,33.365103000000005,23.0,,
85306,-112.181517,33.620994,38.0,,
85706,-110.8941,32.1177,35.0,,
85713,-111.0627,32.19144,27.0,,
85747,-110.735754,32.043928,23.0,,
86001,-111.63408000000001,35.139959999999995,,34.0,
86314,-112.32097900000001,34.605746,22.0,,
87048,-106.619422,35.235304,2.0,,
87102,-106.653549,35.077349,32.0,,
87110,-106.576209,35.107533000000004,,14.0,
87124,-106.69656,35.2566,82.0,,
87501,-105.9672,35.6997,,26.0,
88001,-106.743509,32.317522,,33.0,
8812,-74.478647,40.601341,,21.0,
88240,-103.140536,32.725126,,23.0,
8829,-74.893718,40.670912,29.0,,
8901,-74.44703299999999,40.48799,,3.0,
89030,-115.12890300000001,36.210991,6.0,17.0,0.35294117647058826
89109,-115.14507900000001,36.124358,,19.0,
89117,-115.27402,36.140602,20.0,28.0,0.7142857142857143
89129,-115.290718,36.235494,,10.0,
89134,-115.29383999999999,36.21132,,2.0,
89403,-119.53803400000001,39.270238,,74.0,
89835,-114.965942,41.108927,19.0,,
90020,-118.31043000000001,34.068259000000005,57.0,,
90024,-118.4364,34.060189,,17.0,
90036,-118.350907,34.067699,,5.0,
90039,-118.260934,34.107325,,26.0,
90044,-118.290701,33.956268,6.0,65.0,0.09230769230769233
90045,-118.397884,33.957494,,26.0,
90046,-118.366794,34.105576,,14.0,
90230,-118.394799,34.001758,27.0,,
90245,-118.405527,33.923798,,5.0,
90401,-118.495341,34.01663,,20.0,
90405,-118.470161,34.007914,,17.0,
90605,-118.026647,33.955628999999995,4.0,,
90620,-118.007993,33.843903000000005,,17.0,
90631,-117.95442,33.94104,28.0,,
90650,-118.080822,33.908151000000004,5.0,,
90680,-117.995649,33.799083,,36.0,
90731,-118.27944,33.743520000000004,,3.0,
90740,-118.08080600000001,33.760225,4.0,21.0,0.19047619047619047
90807,-118.17922800000001,33.827641,50.0,,
90808,-118.105424,33.819908,,26.0,
91011,-118.201628,34.206651,,11.0,
91101,-118.139596,34.147489,,14.0,
91107,-118.088972,34.152009,44.0,13.0,3.3846153846153846
91206,-118.21918899999999,34.160263,,14.0,
91208,-118.231522,34.191213,,11.0,
91303,-118.60309,34.196940999999995,18.0,,
91367,-118.623042,34.178189,,49.0,
91502,-118.30618500000001,34.174687,23.0,,
91601,-118.370011,34.169503999999996,,2.0,
91766,-117.76133899999999,34.041268,,28.0,
91767,-117.74088200000001,34.081648,18.0,,
91910,-117.013699,32.625054,,24.0,
91911,-117.05316299999998,32.60808,,14.0,
91944,-117.02134299999999,32.768983,8.0,,
91978,-116.938685,32.705089,,8.0,
92008,-117.30515,33.147395,,9.0,
92020,-116.965928,32.793886,,72.0,
92037,-117.253243,32.838775,6.0,17.0,0.35294117647058826
92040,-116.91598799999998,32.861292,47.0,,
92069,-117.173018,33.149519,,9.0,
92071,-116.98876899999999,32.846307,59.0,,
92078,-117.16844499999999,33.114432,,83.0,
92101,-117.16533100000001,32.722628,,9.0,
92102,-117.11426000000002,32.716263,,14.0,
92106,-117.231417,32.725654,13.0,,
92117,-117.20017800000001,32.824555,17.0,13.0,1.3076923076923077
92128,-117.07051200000001,33.010498,,2.0,
92130,-117.22272099999999,32.951538,,30.0,
92131,-117.08668999999999,32.909138,42.0,,
92210,-116.334198,33.715709000000004,19.0,,
92260,-116.371851,33.727748999999996,,20.0,
92316,-117.397247,34.069928000000004,23.0,,
92336,-117.45926499999999,34.132487,26.0,,
92374,-117.16807,34.065425,,25.0,
92376,-117.376352,34.117034000000004,,71.0,
92401,-117.29139099999999,34.106372,,29.0,
92404,-117.25723300000001,34.148309999999995,12.0,,
92505,-117.48668899999998,33.919916,53.0,23.0,2.3043478260869565
92508,-117.313369,33.8876,7.0,,
92553,-117.238598,33.908611,13.0,,
92618,-117.705377,33.707390000000004,,17.0,
92630,-117.66911999999999,33.64578,,40.0,
92651,-117.78126499999999,33.542914,,36.0,
92672,-117.62308700000001,33.436147999999996,4.0,,
92692,-117.643273,33.614433,,65.0,
92802,-117.922777,33.808505,,46.0,
92804,-117.972857,33.818606,34.0,,
92807,-117.78577299999999,33.854371,,2.0,
92821,-117.884454,33.929134999999995,11.0,3.0,3.6666666666666665
92882,-117.598903,33.862584999999996,,6.0,
93030,-119.179607,34.214999,,137.0,
93110,-119.76600400000001,34.438801,,74.0,
93449,-120.6552,35.1582,,33.0,
93654,-119.43415,36.611335,,62.0,
93711,-119.843171,36.820060999999995,30.0,,
94022,-122.13696000000002,37.36656,,33.0,
94063,-122.203623,37.492395,,3.0,
94103,-122.409865,37.773792,,21.0,
94110,-122.415699,37.748224,10.0,,
94112,-122.439949,37.721519,23.0,,
94520,-122.03516699999999,37.985575,,82.0,
94544,-122.063172,37.634254999999996,9.0,,
94549,-122.112374,37.897484999999996,42.0,,
94558,-122.305067,38.343537,,16.0,
94618,-122.230556,37.824444,6.0,,
95073,-121.950993,37.008856,,21.0,
