,postalCode,RestCount,afact,popsum,NP,RMSP,VALP,HINCP
1784,34108,8,1.0,16874.0,2.0,6.0,200000.0,65000.0
1785,34109,3,1.0,23338.0,2.0,6.0,200000.0,65000.0
1786,34112,1,1.0,27002.0,2.0,6.0,189000.0,63800.0
1787,34114,2,1.0,13653.0,2.0,6.0,210000.0,68900.0
1788,34135,2,1.0,37315.0,2.0,5.0,320000.0,69100.0
1789,34139,1,1.0,561.0,2.0,6.0,210000.0,68900.0
1790,34145,2,1.0,16407.0,2.0,6.0,210000.0,68900.0
1791,34202,3,1.0,19816.0,2.0,6.0,500000.0,94100.0
1792,34207,2,1.0,29728.0,2.0,5.625,413750.0,82062.5
1793,34211,1,1.0,2775.0,2.0,6.0,500000.0,94100.0
1794,34212,1,1.0,15146.0,2.0,5.002,400200.0,79030.2
1795,34217,3,1.0,5007.0,2.0,5.0,270000.0,62000.0
1796,34224,1,1.0,15394.0,2.0,5.997000000000001,140300.0,52713.5
1797,34229,1,1.0,7192.0,2.0,5.0,314000.0,67765.0
1798,34231,3,1.0,30268.0,2.0,5.0,300506.0,65078.31000000001
1799,34233,2,1.0,16653.0,2.0,5.0,314000.0,67765.0
1800,34236,8,1.0,12394.0,2.0,5.0,275000.0,60000.0
1801,34237,1,1.0,16304.0,2.0,5.0,275000.0,60000.0
1802,34239,1,1.0,15038.0,2.0,5.000000000000001,281669.0000000001,61327.81500000001
1803,34242,1,1.0,8865.0,2.0,5.0,285218.0,62034.43
1804,34243,2,1.0,26115.0,2.0,5.824999999999998,460625.0,88132.5
1805,34266,2,1.0,31055.000000000004,2.0,5.9990000000000006,120120.0,47809.4
1806,34285,2,1.0,17599.0,2.0,5.0,299496.0,65694.26000000001
1807,34292,1,1.0,13516.0,2.0,5.0,263976.0,60623.06
1808,34293,3,1.0,33001.0,2.0,5.0,251914.00000000003,58900.965
1809,34428,2,1.0,9109.0,2.0,6.0,150000.0,52000.0
1810,34429,2,1.0,8563.0,2.0,6.0,150000.0,52000.0
1811,34448,1,1.0,10797.0,2.0,6.0,150000.0,52000.0
1812,34450,3,1.0,10293.0,2.0,6.0,150000.0,52000.0
1813,34453,1,1.0,10112.0,2.0,6.0,150000.0,52000.0
1814,34470,2,1.0,17838.0,2.0,5.0,223025.0,51999.99999999999
1815,34471,2,1.0,25152.0,2.0,5.0,225000.0,52000.0
1816,34474,2,1.0,16062.0,2.0,5.0,225000.0,52000.0
1817,34475,2,1.0,12176.999999999998,2.0,4.999999999999999,222700.0,51999.99999999999
1818,34482,1,1.0,22500.0,2.0,5.0,211650.0,52000.0
1819,34491,2,1.0,27454.0,2.0,5.0,450000.0,65350.0
1820,34601,1,1.0,22336.0,2.0,6.0,200000.0,64500.0
1821,34604,1,1.0,10003.0,2.0,6.0,200000.0,64500.0
1822,34606,1,1.0,26208.0,2.0,6.0,200000.0,64500.0
1823,34609,2,1.0,37129.0,2.0,6.0,200000.0,64500.0
1824,34613,3,1.0,17814.0,2.0,6.0,200000.0,64500.0
1825,34639,1,1.0,24092.000000000004,2.0,5.8740000000000006,219920.00000000003,72340.82
1826,34654,1,1.0,21716.0,2.0,5.0,140000.0,48500.0
1827,34667,1,1.0,32144.0,2.0,5.0,112850.0,43884.5
1828,34668,3,1.0,42619.0,2.0,5.0,106600.0,42822.0
1829,34669,1,1.0,12648.0,2.0,5.0,140000.0,48500.0
1830,34677,2,1.0,20842.0,2.0,5.341,217050.0,58861.15
1831,34684,1,1.0,25847.0,2.0,6.0,250000.0,65550.0
1832,34685,1,1.0,17286.0,2.0,6.0,250000.0,65550.0
1833,34689,5,1.0,26132.0,2.0,6.0,250000.0,65550.0
1834,34698,3,1.0,37239.999999999985,2.0,5.0299999999999985,201500.0,55704.5
1835,34711,3,1.0,51847.0,2.0,6.0,180000.0,57000.0
1836,34714,4,1.0,14685.0,2.0,5.901,179009.99999999997,56306.99999999999
1837,34741,4,1.0,40828.0,2.0,5.0,500000.0,66000.0
1838,34746,3,1.0,35022.0,2.0,5.0,500000.0,66000.0
1839,34747,1,1.0,13692.0,2.0,5.0,500000.0,66000.0
1840,34762,1,1.0,622.0,2.0,6.0,180000.0,57000.0
1841,34769,2,1.0,21399.0,2.0,6.0,350000.0,73000.0
1842,34785,1,1.0,17406.0,2.0,5.0,200000.0,47300.0
1843,34786,2,1.0,28092.0,2.0,6.000000000000001,366510.00000000006,77311.70000000001
1844,34787,1,1.0,46083.0,2.0,5.999999999999999,308880.0,70735.9
1845,34788,1,1.0,17519.0,2.0,5.3765,162350.0,47977.7
